Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C3, C9",0402,9,100nF,C77020
C2,0603,1,4.7uF 35V,C162274
C4,0402,1,10nF,C386111
C5,0402,1,2700pF,C162193
C6,0402,1,5.6pF,C161155
C7,0805,1,47uF 10V,C386058
C8,CP_EIA-3216-10_Kemet-I,1,10uF 16V,C185772
D1,D_SOD-123,1,1N4007W,C3018540
D2,D_SMA,1,SMAJ30CA,C356367
D3,0402,1,LED,C965790
D4,D_SOD-123,1,RB160M-40,C688896
D5,0402,1,LED,C434446
FB1,0805,1,300Ω@100MHz,C67451
FB2,0603,1,300Ω@100MHz,C401489
L1,L_Bourns-SRN4018,1,47uH,C341015
R1,0805,1,100R,C17408
R10,0402,1,0R,C17168
R11,0805,1,120R,C17437
"R12, R13, R14",0402,3,10K,C25744
"R15, R3",0402,2,1K,C11702
R2,0402,1,51Ω,C325571
R4,0402,1,332KΩ,C321451
R5,0402,1,52.3KΩ,C170333
R6,0402,1,76.8KΩ,C158981
R7,0402,1,56.2KΩ,C208917
R8,0402,1,165KΩ,C25741
R9,0402,1,10KΩ,C25854
U1,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,TPS54240DGQR,C53213
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1050T,C6952
U3,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,C5250735
U4,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-AU,C14877
"Y1, Y2",Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm,2,8MHZ,C22549
