Designator,Mid X,Mid Y,Rotation,Layer
BZ1,102.108,-74.168,0.0,bottom
C1,94.742,-45.974,270.0,top
C10,85.344,-41.783,180.0,bottom
C11,86.995,-61.087,180.0,top
C12,84.709,-72.136,0.0,top
C13,86.995,-72.136,0.0,top
C14,84.09,-69.342,0.0,bottom
C15,96.901,-65.913,0.0,top
C16,83.52,-67.945,0.0,bottom
C17,88.392,-66.802,0.0,bottom
C18,98.933,-65.913,180.0,top
C19,94.869,-62.611,270.0,top
C2,95.885,-45.974,90.0,top
C20,91.186,-65.395,90.0,bottom
C21,95.885,-66.04,270.0,bottom
C22,101.981,-50.038,180.0,top
C23,98.933,-59.69,90.0,top
C24,88.138,-55.753,0.0,top
C25,92.456,-45.974,270.0,top
C26,100.711,-61.087,270.0,top
C27,83.693,-43.18,0.0,top
C28,83.693,-45.72,0.0,top
C29,83.693,-48.26,0.0,top
C3,97.028,-45.974,90.0,top
C30,83.693,-50.8,0.0,top
C4,105.537,-45.466,180.0,top
C5,92.456,-62.738,90.0,top
C6,90.678,-72.136,180.0,top
C7,92.964,-72.136,0.0,top
C8,104.648,-40.386,180.0,bottom
C9,104.648,-41.529,180.0,bottom
D1,105.283,-67.818,0.0,bottom
D2,104.648,-77.47,0.0,top
D3,96.52,-70.612,270.0,top
D4,85.852,-77.597,180.0,top
D5,86.36,-74.803,0.0,top
D6,83.82,-75.523,90.0,bottom
D7,91.059,-76.673,90.0,bottom
F1,87.757,-76.073,90.0,bottom
FB1,104.648,-42.672,180.0,bottom
FB2,86.995,-73.152,0.0,top
FB3,84.09,-70.993,180.0,bottom
FB4,93.5005,-65.445,90.0,bottom
FB5,97.79,-59.69,270.0,top
FB6,91.186,-62.738,90.0,top
J1,80.645,-41.91,0.0,top
J2,109.22,-41.91,0.0,top
J3,94.996,-76.454,0.0,top
J4,105.41,-62.23,180.0,top
L1,91.821,-70.104,90.0,bottom
Q1,101.727,-66.802,270.0,bottom
R1,88.138,-53.467,0.0,top
R10,106.172,-51.689,270.0,top
R11,93.726,-62.738,270.0,top
R12,90.043,-62.738,270.0,top
R13,88.9,-62.738,270.0,top
R14,96.52,-67.564,0.0,top
R15,83.82,-77.597,0.0,top
R16,91.44,-45.974,270.0,top
R17,88.138,-54.61,180.0,top
R18,86.487,-62.738,270.0,top
R19,87.757,-62.738,90.0,top
R2,101.981,-52.07,180.0,top
R20,83.82,-74.295,270.0,top
R21,85.976,-66.802,0.0,bottom
R22,83.54,-66.802,0.0,bottom
R23,96.647,-59.69,270.0,top
R24,101.981,-55.626,180.0,top
R25,83.693,-52.07,180.0,top
R26,83.693,-53.34,180.0,top
R27,83.693,-54.61,180.0,top
R28,83.693,-55.88,180.0,top
R29,83.693,-57.15,180.0,top
R3,98.171,-45.974,270.0,top
R30,83.693,-49.53,180.0,top
R31,83.693,-46.99,180.0,top
R32,83.693,-44.45,180.0,top
R33,83.693,-41.91,180.0,top
R34,83.693,-58.42,180.0,top
R35,83.693,-59.69,180.0,top
R36,85.344,-46.355,0.0,bottom
R37,85.344,-47.752,0.0,bottom
R4,93.599,-45.974,270.0,top
R5,105.537,-73.914,270.0,top
R6,104.521,-73.914,270.0,top
R7,103.505,-73.914,270.0,top
R8,104.775,-66.167,0.0,bottom
R9,104.267,-51.689,270.0,top
U1,94.996,-52.832,270.0,top
U2,105.156,-48.387,90.0,top
U3,91.821,-67.691,270.0,top
U4,95.0,-42.5,0.0,bottom
U5,84.455,-62.103,270.0,top
U6,85.852,-67.691,270.0,top
U7,87.63,-69.596,90.0,bottom
U8,97.663,-63.246,90.0,top
Y1,100.584,-45.466,180.0,top
